date;category;value
2025-02-02;Все категории;18.20309
2025-01-26;Все категории;18.167505
2025-01-19;Все категории;17.850632
2025-01-12;Все категории;12.823957
2025-01-05;Все категории;6.6925726
2024-12-29;Все категории;22.81549
2024-12-22;Все категории;19.490683
2024-12-15;Все категории;20.493011
2024-12-08;Все категории;18.52356
2024-12-01;Все категории;19.892935
2024-11-24;Все категории;19.766655
2024-11-17;Все категории;18.45922
2024-11-10;Все категории;18.01529
2024-11-03;Все категории;18.342716
2024-10-27;Все категории;20.127584
2024-10-20;Все категории;20.558506
2024-10-13;Все категории;18.707071
2024-10-06;Все категории;19.492617
2024-09-29;Все категории;18.98046
2024-09-22;Все категории;19.257734
2024-09-15;Все категории;21.302538
2024-09-08;Все категории;20.16155
2024-09-01;Все категории;21.597092
2024-08-25;Все категории;19.673122
2024-08-18;Все категории;16.919807
2024-08-11;Все категории;17.777866
2024-08-04;Все категории;17.907045
2024-07-28;Все категории;16.340895
2024-07-21;Все категории;17.753527
2024-07-14;Все категории;16.499647
2024-07-07;Все категории;17.836864
2024-06-30;Все категории;18.495983
2024-06-23;Все категории;18.35396
2024-06-16;Все категории;18.35394
2024-06-09;Все категории;18.526123
2024-06-02;Все категории;18.384165
2024-05-26;Все категории;17.128668
2024-05-19;Все категории;16.594294
2024-05-12;Все категории;15.543833
2024-05-05;Все категории;12.000727
2024-04-28;Все категории;18.193464
2024-04-21;Все категории;15.823525
2024-04-14;Все категории;15.449228
2024-04-07;Все категории;14.695253
2024-03-31;Все категории;14.202076
2024-03-24;Все категории;15.638689
2024-03-17;Все категории;15.762466
2024-03-10;Все категории;15.990286
2024-03-03;Все категории;16.298395
2024-02-25;Все категории;15.077874
2024-02-18;Все категории;15.138869
2024-02-11;Все категории;14.367491
2024-02-04;Все категории;14.493245
2024-01-28;Все категории;13.765669
2024-01-21;Все категории;13.072732
2024-01-14;Все категории;11.991289
2024-01-07;Все категории;-0.65336466
2023-12-31;Все категории;18.71943
2023-12-24;Все категории;18.170113
2023-12-17;Все категории;16.821419
2023-12-10;Все категории;16.444054
2023-12-03;Все категории;16.948477
2023-11-26;Все категории;17.36338
2023-11-19;Все категории;17.36647
2023-11-12;Все категории;16.691105
2023-11-05;Все категории;17.24471
2023-10-29;Все категории;17.29131
2023-10-22;Все категории;17.510447
2023-10-15;Все категории;17.668402
2023-10-08;Все категории;17.61123
2023-10-01;Все категории;18.012789
2023-09-24;Все категории;18.049866
2023-09-17;Все категории;18.219969
2023-09-10;Все категории;18.111366
2023-09-03;Все категории;18.615662
2023-08-27;Все категории;17.904018
2023-08-20;Все категории;17.72822
2023-08-13;Все категории;17.38545
2023-08-06;Все категории;17.223587
2023-07-30;Все категории;17.025404
2023-07-23;Все категории;16.997513
2023-07-16;Все категории;17.072191
2023-07-09;Все категории;17.050732
2023-07-02;Все категории;17.267138
2023-06-25;Все категории;17.269997
2023-06-18;Все категории;16.90831
2023-06-11;Все категории;16.979248
2023-06-04;Все категории;17.018383
2023-05-28;Все категории;16.931746
2023-05-21;Все категории;17.611671
2023-05-14;Все категории;15.151607
2023-05-07;Все категории;15.864995
2023-04-30;Все категории;16.574495
2023-04-23;Все категории;15.88408
2023-04-16;Все категории;15.327005
2023-04-09;Все категории;15.337326
2023-04-02;Все категории;14.491101
2023-03-26;Все категории;14.602709
2023-03-19;Все категории;14.313053
2023-03-12;Все категории;13.813717
2023-03-05;Все категории;14.423274
2023-02-26;Все категории;12.339229
2023-02-19;Все категории;13.410373
2023-02-12;Все категории;12.297381
2023-02-05;Все категории;12.176861
2023-01-29;Все категории;11.677147
2023-01-22;Все категории;11.271764
2023-01-15;Все категории;10.403217
2023-01-08;Все категории;0.13419773
2023-01-01;Все категории;13.25532
2022-12-25;Все категории;14.100326
2022-12-18;Все категории;13.136712
2022-12-11;Все категории;12.524486
2022-12-04;Все категории;12.442199
2022-11-27;Все категории;12.487431
2022-11-20;Все категории;12.729669
2022-11-13;Все категории;12.422946
